Porosity_Tot,SSA_Tot,Conn.Dens.,Porosity,SSA,Ech,Tortuosity,k_m2,,
0.205,45.89,310.913,0.137,5.065,-25.849,2.034,1.47335E-12,,
0.205,45.89,310.913,0.147,5.253,-31.002,2.665,2.25472E-12,,
0.205,45.89,310.913,0.131,4.697,-20.047,2.109,9.54318E-12,,
0.176,54.74,350.137,0.115,5.583,-50.613,4.183,9.66492E-13,,
0.176,54.74,350.137,0.139,7.447,-136.737,2.595,9.18078E-13,,
0.176,54.74,350.137,0.115,5.311,-32.907,4.101,1.43577E-12,,
0.184,53.41,368.141,0.134,6.99,-115.218,2.774,4.0103E-13,,
0.184,53.41,368.141,0.138,7.132,-110.411,2.779,3.93702E-12,,
0.184,53.41,368.141,0.116,5.29,-39.748,3.868,1.93391E-12,,
0.020,45.65,10.573,0.02,0.791,-3.948,3.1,3.0218E-13,,
0.020,45.65,10.573,0.02,0.806,-2.017,2.9,3.19044E-13,,
0.274,36.32,458.436,0.273,7.721,-102.424,1.717,5.51605E-11,,
0.274,36.32,458.436,0.25,6.87,-76.478,1.353,3.82239E-11,,
0.274,36.32,458.436,0.265,7.56,-95.05,1.573,5.27597E-11,,
0.293,34.41,607.796,0.25,7.353,-152.126,1.34,2.00957E-11,,
0.293,34.41,607.796,0.281,8.363,-258.282,1.372,1.31949E-10,,
0.293,34.41,607.796,0.297,9.123,-362.849,1.675,8.28954E-11,,
0.056,89.21,303.129,0.075,4.747,-130.705,2.621,3.39094E-13,,
0.056,89.21,303.129,0.079,5.065,-156.334,3.238,2.06688E-13,,
0.063,79.51,288.192,0.075,4.747,-130.705,3.0175,3.39094E-13,,
0.063,79.51,288.192,0.079,5.065,-156.334,3.7225,2.06688E-13,,
0.066,74.03,207.81,0.062,4.227,-132.907,3.414,5.53194E-13,,
0.066,74.03,207.81,0.066,4.532,-162.178,4.207,2.45618E-14,,
0.143,65.23,397.271,0.151,7.652,-124.943,3.3133,7.81123E-13,,
0.143,65.23,397.271,0.151,7.653,-132.984,3.39,1.23531E-12,,
0.143,65.23,397.271,0.148,7.51,-121.665,3.8,5.42984E-13,,
0.149,78.54,307.044,0.136,10.267,-202.056,3.087,2.93371E-13,,
0.149,78.54,307.044,0.137,10.3,-202.989,2.795,4.25551E-13,,
0.149,78.54,307.044,0.124,9.292,-160.839,3.585,7.13302E-13,,
0.149,78.54,307.044,0.136,10.267,-202.056,3.087,2.93371E-13,,
0.149,78.54,307.044,0.137,10.3,-202.989,2.795,4.25551E-13,,
0.149,78.54,307.044,0.124,9.292,-160.839,3.585,7.13302E-13,,
0.146,80.67,286.157,0.098,8.08,-132.73,3.34,1.76721E-13,,
0.146,80.67,286.157,0.108,8.765,-160.656,3.609,2.2115E-13,,
0.146,80.67,286.157,0.103,8.463,-161.984,4.349,1.73954E-13,,
0.116,61.77,116.198,0.104,6.047,-71.467,4.007,5.69717E-13,,
0.116,61.77,116.198,0.098,5.923,-70.632,2.818,3.23519E-13,,
0.116,61.77,116.198,0.096,5.808,-68.413,3.646,8.48564E-14,,
0.112,59.86,95.679,0.092,5.414,-53.37,4.22,4.96617E-13,,
0.112,59.86,95.679,0.093,5.443,-53.168,4.226,1.45974E-12,,
0.112,59.86,95.679,0.092,5.425,-53.456,4.22,5.46279E-13,,
0.088,56.44,68.701,0.077,4.215,-43.86,4.278,2.56418E-13,,
0.088,56.44,68.701,0.076,4.24,-44.725,4.034,1.02132E-12,,
0.088,56.44,68.701,0.073,4.035,-39.278,4.459,5.36254E-13,,
0.029,46.72,17.118,0.026,1.209,-13.631,2.821,1.92401E-13,,
0.050,58.18,28.32,0.043,2.511,-28.011,3.6,0,,
0.050,58.18,28.32,0.041,2.34,-18.74,3.604,8.75011E-13,,
0.050,58.18,28.32,0.042,2.434,-27.463,3.6,3.46163E-13,,
